395578,	0x8140,	0xA1A1,	0xE38080,	//	Å@
150324,	0x82CC,	0xA4CE,	0xE381AE,	//	ÇÃ
122124,	0x815B,	0xA1BC,	0xE383BC,	//	Å[
109859,	0x82A2,	0xA4A4,	0xE38184,	//	Ç¢
102815,	0x82B5,	0xA4B7,	0xE38197,	//	Çµ
91442,	0x8142,	0xA1A3,	0xE38082,	//	ÅB
90858,	0x82C5,	0xA4C7,	0xE381A7,	//	Ç≈
84908,	0x8141,	0xA1A2,	0xE38081,	//	ÅA
84100,	0x82B7,	0xA4B9,	0xE38199,	//	Ç∑
83196,	0x82C9,	0xA4CB,	0xE381AB,	//	Ç…
82905,	0x82C4,	0xA4C6,	0xE381A6,	//	Çƒ
77586,	0x82C8,	0xA4CA,	0xE381AA,	//	Ç»
75826,	0x82E9,	0xA4EB,	0xE3828B,	//	ÇÈ
70988,	0x82C6,	0xA4C8,	0xE381A8,	//	Ç∆
66550,	0x8393,	0xA5F3,	0xE383B3,	//	Éì
65673,	0x82DC,	0xA4DE,	0xE381BE,	//	Ç‹
65549,	0x82BD,	0xA4BF,	0xE3819F,	//	ÇΩ
63876,	0x82CD,	0xA4CF,	0xE381AF,	//	ÇÕ
62256,	0x8146,	0xA1A7,	0xEFBC9A,	//	ÅF
62032,	0x82F0,	0xA4F2,	0xE38292,	//	Ç
60414,	0x82F1,	0xA4F3,	0xE38293,	//	ÇÒ
59498,	0x82A9,	0xA4AB,	0xE3818B,	//	Ç©
57474,	0x8358,	0xA5B9,	0xE382B9,	//	ÉX
57420,	0x82AA,	0xA4AC,	0xE3818C,	//	Ç™
51786,	0x82C1,	0xA4C3,	0xE381A3,	//	Ç¡
45819,	0x8367,	0xA5C8,	0xE38388,	//	Ég
44623,	0x82A4,	0xA4A6,	0xE38186,	//	Ç§
43556,	0x82E7,	0xA4E9,	0xE38289,	//	ÇÁ
43417,	0x838B,	0xA5EB,	0xE383AB,	//	Éã
41715,	0x82B3,	0xA4B5,	0xE38195,	//	Ç≥
40459,	0x8145,	0xA1A6,	0xE383BB,	//	ÅE
40314,	0x82E0,	0xA4E2,	0xE38282,	//	Ç‡
40034,	0x8362,	0xA5C3,	0xE38383,	//	Éb
39044,	0x82B1,	0xA4B3,	0xE38193,	//	Ç±
38695,	0x82EA,	0xA4EC,	0xE3828C,	//	ÇÍ
37388,	0x8343,	0xA5A4,	0xE382A4,	//	ÉC
36184,	0x84AA,	0xA8AC,	0xE29481,	//	Ñ™
35692,	0x8150,	0xA1B1,	0xEFBFA3,	//	ÅP
35408,	0x96BC,	0xCCBE,	0xE5908D,	//	ñº
33601,	0x82BE,	0xA4C0,	0xE381A0,	//	Çæ
33477,	0x82E8,	0xA4EA,	0xE3828A,	//	ÇË
31130,	0x838C,	0xA5EC,	0xE383AC,	//	Éå
30347,	0x834E,	0xA5AF,	0xE382AF,	//	ÉN
29643,	0x849F,	0xA8A1,	0xE29480,	//	Ñü
29567,	0x93FA,	0xC6FC,	0xE697A5,	//	ì˙
28747,	0x82AB,	0xA4AD,	0xE3818D,	//	Ç´
27895,	0x82AD,	0xA4AF,	0xE3818F,	//	Ç≠
27572,	0x82A0,	0xA4A2,	0xE38182,	//	Ç†
26895,	0x838A,	0xA5EA,	0xE383AA,	//	Éä
